DOI,Title,ISSN
10.1234/altmetric857,Small Rubber Car,1111-1545
10.1234/altmetric860,Small Steel Table,8708-9669
10.1234/altmetric865,Intelligent Concrete Gloves,6080-6624
10.1234/altmetric867,Intelligent Rubber Car,6314-0626
10.1234/altmetric868,Fantastic Wooden Gloves,8708-9669
10.1234/altmetric868,Practical Concrete Computer,4389-0212
10.1234/altmetric868,Rustic Cotton Chair,4812-3148
10.1234/altmetric870,Gorgeous Wooden Pants,6454-1054
10.1234/altmetric870,Practical Cotton Car,2454-1401
10.1234/altmetric870,Small Rubber Table,6650-5373
10.1234/altmetric871,Incredible Wooden Chair,4336-8427
10.1234/altmetric871,Practical Granite Table,6337-6036
10.1234/altmetric872,Ergonomic Cotton Gloves,65327743
10.1234/altmetric873,Ergonomic Rubber Shoes,7271-7294
10.1234/altmetric873,Sleek Wooden Car,4068-2837
10.1234/altmetric874,Intelligent Rubber Computer,2207-9031
10.1234/altmetric875,Awesome Concrete Shirt,5875-1506
10.1234/altmetric875,Awesome Granite Computer,5026-2569
10.1234/altmetric876,Incredible Cotton Shoes,7198-0726
10.1234/altmetric877,Practical Wooden Computer,8149-2718
10.1234/altmetric877,Rustic Plastic Gloves,3355-0845
10.1234/altmetric878,Practical Cotton Computer,2539-4366
10.1234/altmetric879,Small Concrete Pants,32851949
10.1234/altmetric88,Gorgeous Concrete Car,7055-7316
10.1234/altmetric880,Gorgeous Steel Computer,7307-5828
10.1234/altmetric881,Sleek Steel Pants,3785-1646
10.1234/altmetric882,Ergonomic Concrete Shirt,8545-3348
10.1234/altmetric882,Intelligent Plastic Gloves,8885-9341
10.1234/altmetric883,Small Concrete Chair,8541-5457
10.1234/altmetric884,Incredible Steel Gloves,2565-9228
10.1234/altmetric885,Intelligent Plastic Pants,9241-3535
10.1234/altmetric887,Gorgeous Wooden Hat,3132-7124
10.1234/altmetric890,Ergonomic Concrete Shoes,5818-3335
10.1234/altmetric893,Fantastic Granite Shirt,2539-4366
10.1234/altmetric895,Rustic Rubber Computer,4680-1316
10.1234/altmetric897,Fantastic Concrete Hat,3319-8105
10.1234/altmetric898,Intelligent Granite Pants,8713-8741
10.1234/altmetric90,Awesome Wooden Table,5307-9619
10.1234/altmetric90,Incredible Granite Pants,0647-4622
10.1234/altmetric900,Awesome Cotton Car,7535-6816
10.1234/altmetric902,Gorgeous Steel Car,7454-8126
10.1234/altmetric903,Incredible Granite Table,1085-4412
10.1234/altmetric903,Rustic Concrete Pants,1296-8514
10.1234/altmetric906,Awesome Granite Table,0515-3818
10.1234/altmetric906,Intelligent Granite Pants,8566-1261
10.1234/altmetric908,Sleek Steel Pants,5455-8165
10.1234/altmetric909,Fantastic Rubber Hat,8137-8341
10.1234/altmetric91,Intelligent Cotton Chair,1817-4888
10.1234/altmetric914,Awesome Concrete Hat,5726-0888
10.1234/altmetric915,Incredible Granite Computer,6540-4531
10.1234/altmetric915,Small Rubber Shirt,7152-1502
10.1234/altmetric916,Awesome Concrete Pants,3355-0845
10.1234/altmetric917,Gorgeous Steel Hat,6253-5863
10.1234/altmetric925,Small Granite Chair,1703-5106
10.1234/altmetric926,Gorgeous Cotton Table,1511-1103
10.1234/altmetric93,Rustic Wooden Chair,20832487
10.1234/altmetric931,Awesome Cotton Pants,3413-2625
10.1234/altmetric935,Gorgeous Wooden Car,0421-6696
10.1234/altmetric938,Awesome Concrete Table,7818-6587
10.1234/altmetric938,Fantastic Wooden Pants,66358622
10.1234/altmetric938,Sleek Rubber Shoes,0165-3926
10.1234/altmetric939,Practical Cotton Shirt,7826-6161
10.1234/altmetric941,Incredible Cotton Chair,8423-2585
10.1234/altmetric942,Practical Plastic Computer,2974-8513
10.1234/altmetric942,Rustic Granite Table,6474-7834
10.1234/altmetric943,Sleek Granite Chair,3842-8885
10.1234/altmetric945,Rustic Plastic Pants,7186-1356
10.1234/altmetric946,Small Plastic Gloves,1058-8546
10.1234/altmetric947,Awesome Plastic Shoes,1285-6632
10.1234/altmetric947,Intelligent Concrete Car,7894-1777
10.1234/altmetric949,Gorgeous Rubber Shirt,1289-6437
10.1234/altmetric950,Sleek Plastic Shirt,7198-0726
10.1234/altmetric952,Intelligent Concrete Computer,9557-9477
10.1234/altmetric954,Gorgeous Steel Hat,17772954
10.1234/altmetric955,Awesome Rubber Computer,5446-1062
10.1234/altmetric955,Sleek Cotton Hat,6647-3645
10.1234/altmetric956,Rustic Plastic Car,5818-3335
10.1234/altmetric96,Gorgeous Granite Gloves,3629-6665
10.1234/altmetric962,Intelligent Wooden Shoes,35163718
10.1234/altmetric964,Rustic Rubber Shirt,3381-2751
10.1234/altmetric967,Incredible Rubber Shirt,7263-4747
10.1234/altmetric97,Sleek Plastic Chair,9557-9477
10.1234/altmetric970,Small Rubber Shirt,4662-7769
10.1234/altmetric971,Intelligent Steel Chair,63033283
10.1234/altmetric977,Small Granite Shoes,5561-1380
10.1234/altmetric979,Fantastic Wooden Gloves,3466-9141
10.1234/altmetric98,Ergonomic Steel Pants,4361-7445
10.1234/altmetric98,Incredible Cotton Car,5105-5241
10.1234/altmetric980,Practical Cotton Pants,8337-9477
10.1234/altmetric982,Ergonomic Steel Computer,7234-3825
10.1234/altmetric984,Ergonomic Wooden Chair,63888634
10.1234/altmetric986,Intelligent Wooden Computer,8111-4558
10.1234/altmetric987,Awesome Cotton Pants,1710-2171
10.1234/altmetric987,Rustic Wooden Pants,3087-2113
10.1234/altmetric989,Fantastic Concrete Computer,7125-4516
10.1234/altmetric99,Intelligent Rubber Shirt,9024-1117
10.1234/altmetric990,Sleek Rubber Computer,5747-4525
10.1234/altmetric995,Fantastic Concrete Table,5039-2276
10.1234/altmetric997,Awesome Concrete Hat,7819-1776
10.1234/altmetric997,Practical Plastic Table,4826-6971
